SC1.EMInert.X             SC1.EMInert.Y             SC1.EMInert.Z             SC1.UTCModJulian          
319483.7717791706         -160596.4947852116        -166167.0110360124        57727.00000035532         
319483.7718274532         -160596.4947233282        -166167.0110029899        57727.00000035648         
319483.7718757316         -160596.4946614501        -166167.0109699702        57727.00000035764         
319483.7719240143         -160596.4945995667        -166167.0109369477        57727.0000003588          
319483.7719722969         -160596.4945376833        -166167.0109039251        57727.00000035996         
319483.7720205796         -160596.4944757998        -166167.0108709026        57727.00000036111         
319483.7720688623         -160596.4944139164        -166167.01083788          57727.00000036227         
319483.772117145          -160596.494352033         -166167.0108048575        57727.00000036343         
319483.7721654276         -160596.4942901496        -166167.0107718349        57727.00000036458         
319483.7722137102         -160596.4942282662        -166167.0107388124        57727.00000036574         
319483.7722619929         -160596.4941663828        -166167.0107057899        57727.0000003669          
319483.7723102756         -160596.4941044993        -166167.0106727673        57727.00000036805         
319483.7723585583         -160596.4940426159        -166167.0106397448        57727.00000036921         
319483.7724068409         -160596.4939807325        -166167.0106067222        57727.00000037037         
319483.7724551236         -160596.4939188491        -166167.0105736997        57727.00000037152         
319483.7725034063         -160596.4938569657        -166167.0105406771        57727.00000037268         
319483.7725516846         -160596.4937950876        -166167.0105076575        57727.00000037385         
319483.7725999673         -160596.4937332042        -166167.0104746349        57727.000000375           
319483.77264825           -160596.4936713208        -166167.0104416124        57727.00000037616         
319483.7726965327         -160596.4936094374        -166167.0104085898        57727.00000037732         
319483.7727448153         -160596.493547554         -166167.0103755673        57727.00000037847         
319483.7727930979         -160596.4934856706        -166167.0103425448        57727.00000037963         
319483.7728413806         -160596.4934237871        -166167.0103095222        57727.00000038079         
319483.7728896633         -160596.4933619037        -166167.0102764997        57727.00000038194         
319483.772937946          -160596.4933000203        -166167.0102434771        57727.0000003831          
319483.7729862286         -160596.4932381369        -166167.0102104546        57727.00000038426         
319483.7730345113         -160596.4931762535        -166167.010177432         57727.00000038541         
319483.773082794          -160596.4931143701        -166167.0101444095        57727.00000038657         
319483.7731310766         -160596.4930524867        -166167.0101113869        57727.00000038773         
319483.7731793593         -160596.4929906032        -166167.0100783644        57727.00000038889         
319483.7732276377         -160596.4929287252        -166167.0100453447        57727.00000039005         
319483.7732759204         -160596.4928668418        -166167.0100123222        57727.00000039121         
319483.773324203          -160596.4928049583        -166167.0099792996        57727.00000039236         
319483.7733724857         -160596.4927430749        -166167.0099462771        57727.00000039352         
319483.7734207683         -160596.4926811915        -166167.0099132546        57727.00000039468         
319483.773469051          -160596.4926193081        -166167.009880232         57727.00000039583         
319483.7735173337         -160596.4925574247        -166167.0098472095        57727.00000039699         
319483.7735656163         -160596.4924955413        -166167.0098141869        57727.00000039815         
319483.773613899          -160596.4924336578        -166167.0097811644        57727.0000003993          
319483.7736621817         -160596.4923717744        -166167.0097481418        57727.00000040046         
319483.7737104644         -160596.492309891         -166167.0097151193        57727.00000040162         
319483.773758747          -160596.4922480076        -166167.0096820967        57727.00000040278         
319483.7738070296         -160596.4921861242        -166167.0096490742        57727.00000040393         
319483.7738553081         -160596.4921242461        -166167.0096160545        57727.0000004051          
319483.7739035907         -160596.4920623627        -166167.009583032         57727.00000040625         
319483.7739518734         -160596.4920004793        -166167.0095500094        57727.00000040741         
319483.774000156          -160596.4919385959        -166167.0095169869        57727.00000040857         
319483.7740484387         -160596.4918767124        -166167.0094839644        57727.00000040972         
319483.7740967214         -160596.491814829         -166167.0094509418        57727.00000041088         
319483.774145004          -160596.4917529456        -166167.0094179193        57727.00000041204         
319483.7741932867         -160596.4916910622        -166167.0093848967        57727.00000041319         
319483.7742415694         -160596.4916291788        -166167.0093518742        57727.00000041435         
319483.7742898521         -160596.4915672954        -166167.0093188517        57727.00000041551         
319483.7743381347         -160596.4915054119        -166167.0092858291        57727.00000041666         
319483.7743864174         -160596.4914435285        -166167.0092528066        57727.00000041782         
319483.7744347            -160596.4913816451        -166167.009219784         57727.00000041898         
319483.7744829827         -160596.4913197617        -166167.0091867615        57727.00000042014         
319483.7745312611         -160596.4912578836        -166167.0091537418        57727.0000004213          
319483.7745795438         -160596.4911960002        -166167.0091207192        57727.00000042246         
319483.7746278264         -160596.4911341168        -166167.0090876967        57727.00000042361         
319483.7746761091         -160596.4910722334        -166167.0090546742        57727.00000042477         
319483.7747243918         -160596.49101035          -166167.0090216516        57727.00000042593         
319483.7747726744         -160596.4909484666        -166167.0089886291        57727.00000042708         
319483.7748209571         -160596.4908865831        -166167.0089556066        57727.00000042824         
319483.7748692398         -160596.4908246997        -166167.008922584         57727.0000004294          
319483.7749175224         -160596.4907628163        -166167.0088895615        57727.00000043055         
319483.7749658051         -160596.4907009329        -166167.0088565389        57727.00000043171         
319483.7750140877         -160596.4906390495        -166167.0088235164        57727.00000043287         
319483.7750623704         -160596.4905771661        -166167.0087904938        57727.00000043403         
319483.7751106531         -160596.4905152826        -166167.0087574713        57727.00000043518         
319483.7751589358         -160596.4904533992        -166167.0087244487        57727.00000043634         
319483.7752072142         -160596.4903915212        -166167.0086914291        57727.0000004375          
319483.7752554968         -160596.4903296378        -166167.0086584065        57727.00000043866         
319483.7753037795         -160596.4902677544        -166167.008625384         57727.00000043982         
319483.7753520621         -160596.4902058709        -166167.0085923614        57727.00000044097         
319483.7754003448         -160596.4901439875        -166167.0085593389        57727.00000044213         
319483.7754486275         -160596.4900821041        -166167.0085263163        57727.00000044329         
319483.7754969102         -160596.4900202207        -166167.0084932938        57727.00000044444         
319483.7755451928         -160596.4899583373        -166167.0084602713        57727.0000004456          
319483.7755934755         -160596.4898964539        -166167.0084272487        57727.00000044676         
319483.7756417581         -160596.4898345704        -166167.0083942262        57727.00000044792         
319483.7756900408         -160596.489772687         -166167.0083612036        57727.00000044907         
319483.7757383235         -160596.4897108036        -166167.0083281811        57727.00000045023         
319483.7757866061         -160596.4896489202        -166167.0082951585        57727.00000045139         
319483.7758348888         -160596.4895870368        -166167.008262136         57727.00000045254         
319483.7758831672         -160596.4895251587        -166167.0082291163        57727.00000045371         
319483.7759314498         -160596.4894632753        -166167.0081960938        57727.00000045486         
319483.7759797325         -160596.4894013919        -166167.0081630712        57727.00000045602         
