DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-8460.477162398343        2880111.44321572          -1251907.109615063        57737.26898156325         
-8472.761709825429        2888541.606535492         -1255576.31694584         57737.30023156325         
-8485.043431312817        2896971.496862074         -1259245.405842891        57737.33148156325         
-8497.322331647196        2905401.115764903         -1262914.376994594        57737.36273156325         
-8509.598415603263        2913830.464799675         -1266583.231083335        57737.39398156325         
-8521.871687977615        2922259.5455085           -1270251.968785581        57737.42523156325         
-8534.142153541858        2930688.35942007          -1273920.590771946        57737.45648156325         
-8546.409817076439        2939116.908049807         -1277589.097707258        57737.48773156325         
-8558.674683356076        2947545.192900023         -1281257.490250629        57737.51898156325         
-8570.93675718341         2955973.215460058         -1284925.769055513        57737.55023156325         
-8583.196043342234        2964400.97720645          -1288593.934769781        57737.58148156325         
-8595.452546631133        2972828.479603066         -1292261.988035773        57737.61273156325         
-8607.706271848881        2981255.724101257         -1295929.929490372        57737.64398156325         
-8619.957223827903        2989682.712139989         -1299597.759765056        57737.67523156325         
-8632.205407387613        2998109.445146002         -1303265.479485967        57737.70648156325         
-8644.450827367869        3006535.924533931         -1306933.089273965        57737.73773156325         
-8656.693488614348        3014962.151706459         -1310600.589744689        57737.76898156325         
-8668.933396011776        3023388.128054438         -1314267.981508619        57737.80023156325         
-8681.170554437444        3031813.854957032         -1317935.265171128        57737.83148156325         
-8693.40496879441         3040239.333781845         -1321602.441332544        57737.86273156325         
-8705.636643996922        3048664.565885054         -1325269.510588201        57737.89398156325         
-8717.865585003341        3057089.552611531         -1328936.473528498        57737.92523156325         
-8730.09179676991         3065514.295294973         -1332603.330738951        57737.95648156325         
-8742.315284283675        3073938.795258025         -1336270.082800251        57737.98773156325         
-8754.536052547946        3082363.05381241          -1339936.73028831         57738.01898156325         
-8766.754106614906        3090787.072259034         -1343603.273774319        57738.05023156325         
-8778.969451539679        3099210.851888119         -1347269.713824799        57738.08148156325         
-8791.182092412928        3107634.393979319         -1350936.051001648        57738.11273156325         
-8803.392034346381        3116057.699801834         -1354602.285862194        57738.14398156325         
